clean_label,attacked_label,count,llm_name,gold_epu
-9,1,1,qwen/qwen3-235b-a22b-instruct-2507,1
0,-9,2,qwen/qwen3-235b-a22b-instruct-2507,1
0,0,131,qwen/qwen3-235b-a22b-instruct-2507,1
0,1,16,qwen/qwen3-235b-a22b-instruct-2507,1
1,0,7,qwen/qwen3-235b-a22b-instruct-2507,1
1,1,143,qwen/qwen3-235b-a22b-instruct-2507,1
-9,-9,1,qwen/qwen3-235b-a22b-instruct-2507,0
-9,0,2,qwen/qwen3-235b-a22b-instruct-2507,0
0,0,230,qwen/qwen3-235b-a22b-instruct-2507,0
0,1,19,qwen/qwen3-235b-a22b-instruct-2507,0
1,0,3,qwen/qwen3-235b-a22b-instruct-2507,0
1,1,45,qwen/qwen3-235b-a22b-instruct-2507,0
